Chord,Octave,Notes,Midi numbers,Formula
D9,1,"D, F#, A, C, E","14, 18, 21, 24, 28","0, 4, 7, 10, 14"
D11,1,"D, F#, A, C, E, G","14, 18, 21, 24, 28, 31","0, 4, 7, 10, 14, 17"
D13,1,"D, F#, A, C, E, G, B","14, 18, 21, 24, 28, 31, 35","0, 4, 7, 10, 14, 17, 21"
Dmin9,1,"D, F, A, C, E","14, 17, 21, 24, 28","0, 3, 7, 10, 14"
Dmin11,1,"D, F, A, C, E, G","14, 17, 21, 24, 28, 31","0, 3, 7, 10, 14, 17"
Dmin13,1,"D, F, A, C, E, G, B","14, 17, 21, 24, 28, 31, 35","0, 3, 7, 10, 14, 17, 21"
Dmaj6,1,"D, F#, A, B","14, 18, 21, 23","0, 4, 7, 9"
Db6,1,"D, F#, A, A#","14, 18, 21, 22","0, 4, 7, 8"
Db3,1,"D, E, F#, A","14, 16, 18, 21","0, 2, 4, 7"
D#9,1,"D, F#, A, F","14, 18, 21, 29","0, 4, 7, 15"
Ddim7,1,"D, F, G#, B","14, 17, 20, 23","0, 3, 6, 9"
Dmin6,1,"D, F, A, B","14, 17, 21, 23","0, 3, 7, 9"
Dmaj9,1,"D, F#, A, C#, E","14, 18, 21, 25, 28","0, 4, 7, 11, 14"
D7sus4,1,"D, G, A, C","14, 19, 21, 24","0, 5, 7, 10"
D7sus2,1,"D, E, A, C","14, 16, 21, 24","0, 2, 7, 10"
D7b5,1,"D, F#, G#, C","14, 18, 20, 24","0, 4, 6, 10"
D7#5,1,"D, F#, A#, C","14, 18, 22, 24","0, 4, 8, 10"
D7b9,1,"D, F#, A, C, D#","14, 18, 21, 24, 27","0, 4, 7, 10, 13"
D#4,1,"D, G#, A","14, 20, 21","0, 6, 7"
D7#9,1,"D, F#, A, C, F","14, 18, 21, 24, 29","0, 4, 7, 10, 15"
Dhdim,1,"D, F, G#, C","14, 17, 20, 24","0, 3, 6, 10"
D#maj,1,"D#, G, A#","15, 19, 22","0, 4, 7"
D#min,1,"D#, F#, A#","15, 18, 22","0, 3, 7"
D#7,1,"D#, G, A#, C#","15, 19, 22, 25","0, 4, 7, 10"
D#maj7,1,"D#, G, A#, D","15, 19, 22, 26","0, 4, 7, 11"
D#min7,1,"D#, F#, A#, C#","15, 18, 22, 25","0, 3, 7, 10"
D#minmaj7,1,"D#, F#, A#, D","15, 18, 22, 26","0, 3, 7, 11"
D#dim,1,"D#, F#, A","15, 18, 21","0, 3, 6"
D#aug,1,"D#, G, B","15, 19, 23","0, 4, 8"
D#aug(b7),1,"D#, G, B, D","15, 19, 23, 26","0, 4, 8, 11"
D#sus2,1,"D#, F, A#","15, 17, 22","0, 2, 7"
D#sus4,1,"D#, G#, A#","15, 20, 22","0, 5, 7"
D#9,1,"D#, G, A#, C#, F","15, 19, 22, 25, 29","0, 4, 7, 10, 14"
D#11,1,"D#, G, A#, C#, F, G#","15, 19, 22, 25, 29, 32","0, 4, 7, 10, 14, 17"
D#13,1,"D#, G, A#, C#, F, G#, C","15, 19, 22, 25, 29, 32, 36","0, 4, 7, 10, 14, 17, 21"
D#min9,1,"D#, F#, A#, C#, F","15, 18, 22, 25, 29","0, 3, 7, 10, 14"
D#min11,1,"D#, F#, A#, C#, F, G#","15, 18, 22, 25, 29, 32","0, 3, 7, 10, 14, 17"
D#min13,1,"D#, F#, A#, C#, F, G#, C","15, 18, 22, 25, 29, 32, 36","0, 3, 7, 10, 14, 17, 21"
D#maj6,1,"D#, G, A#, C","15, 19, 22, 24","0, 4, 7, 9"
D#b6,1,"D#, G, A#, B","15, 19, 22, 23","0, 4, 7, 8"
D#b3,1,"D#, F, G, A#","15, 17, 19, 22","0, 2, 4, 7"
D##9,1,"D#, G, A#, F#","15, 19, 22, 30","0, 4, 7, 15"
D#dim7,1,"D#, F#, A, C","15, 18, 21, 24","0, 3, 6, 9"
D#min6,1,"D#, F#, A#, C","15, 18, 22, 24","0, 3, 7, 9"
D#maj9,1,"D#, G, A#, D, F","15, 19, 22, 26, 29","0, 4, 7, 11, 14"
D#7sus4,1,"D#, G#, A#, C#","15, 20, 22, 25","0, 5, 7, 10"
D#7sus2,1,"D#, F, A#, C#","15, 17, 22, 25","0, 2, 7, 10"
D#7b5,1,"D#, G, A, C#","15, 19, 21, 25","0, 4, 6, 10"
D#7#5,1,"D#, G, B, C#","15, 19, 23, 25","0, 4, 8, 10"
D#7b9,1,"D#, G, A#, C#, E","15, 19, 22, 25, 28","0, 4, 7, 10, 13"
D##4,1,"D#, A, A#","15, 21, 22","0, 6, 7"
D#7#9,1,"D#, G, A#, C#, F#","15, 19, 22, 25, 30","0, 4, 7, 10, 15"
D#hdim,1,"D#, F#, A, C#","15, 18, 21, 25","0, 3, 6, 10"
Emaj,1,"E, G#, B","16, 20, 23","0, 4, 7"
Emin,1,"E, G, B","16, 19, 23","0, 3, 7"
E7,1,"E, G#, B, D","16, 20, 23, 26","0, 4, 7, 10"
Emaj7,1,"E, G#, B, D#","16, 20, 23, 27","0, 4, 7, 11"
Emin7,1,"E, G, B, D","16, 19, 23, 26","0, 3, 7, 10"
Eminmaj7,1,"E, G, B, D#","16, 19, 23, 27","0, 3, 7, 11"
Edim,1,"E, G, A#","16, 19, 22","0, 3, 6"
Eaug,1,"E, G#, C","16, 20, 24","0, 4, 8"
