Chord,Octave,Notes,Midi numbers,Formula
A#maj7,1,"A#, D, F, A","22, 26, 29, 33","0, 4, 7, 11"
A#min7,1,"A#, C#, F, G#","22, 25, 29, 32","0, 3, 7, 10"
A#minmaj7,1,"A#, C#, F, A","22, 25, 29, 33","0, 3, 7, 11"
A#dim,1,"A#, C#, E","22, 25, 28","0, 3, 6"
A#aug,1,"A#, D, F#","22, 26, 30","0, 4, 8"
A#aug(b7),1,"A#, D, F#, A","22, 26, 30, 33","0, 4, 8, 11"
A#sus2,1,"A#, C, F","22, 24, 29","0, 2, 7"
A#sus4,1,"A#, D#, F","22, 27, 29","0, 5, 7"
A#9,1,"A#, D, F, G#, C","22, 26, 29, 32, 36","0, 4, 7, 10, 14"
A#11,1,"A#, D, F, G#, C, D#","22, 26, 29, 32, 36, 39","0, 4, 7, 10, 14, 17"
A#13,1,"A#, D, F, G#, C, D#, G","22, 26, 29, 32, 36, 39, 43","0, 4, 7, 10, 14, 17, 21"
A#min9,1,"A#, C#, F, G#, C","22, 25, 29, 32, 36","0, 3, 7, 10, 14"
A#min11,1,"A#, C#, F, G#, C, D#","22, 25, 29, 32, 36, 39","0, 3, 7, 10, 14, 17"
A#min13,1,"A#, C#, F, G#, C, D#, G","22, 25, 29, 32, 36, 39, 43","0, 3, 7, 10, 14, 17, 21"
A#maj6,1,"A#, D, F, G","22, 26, 29, 31","0, 4, 7, 9"
A#b6,1,"A#, D, F, F#","22, 26, 29, 30","0, 4, 7, 8"
A#b3,1,"A#, C, D, F","22, 24, 26, 29","0, 2, 4, 7"
A##9,1,"A#, D, F, C#","22, 26, 29, 37","0, 4, 7, 15"
A#dim7,1,"A#, C#, E, G","22, 25, 28, 31","0, 3, 6, 9"
A#min6,1,"A#, C#, F, G","22, 25, 29, 31","0, 3, 7, 9"
A#maj9,1,"A#, D, F, A, C","22, 26, 29, 33, 36","0, 4, 7, 11, 14"
A#7sus4,1,"A#, D#, F, G#","22, 27, 29, 32","0, 5, 7, 10"
A#7sus2,1,"A#, C, F, G#","22, 24, 29, 32","0, 2, 7, 10"
A#7b5,1,"A#, D, E, G#","22, 26, 28, 32","0, 4, 6, 10"
A#7#5,1,"A#, D, F#, G#","22, 26, 30, 32","0, 4, 8, 10"
A#7b9,1,"A#, D, F, G#, B","22, 26, 29, 32, 35","0, 4, 7, 10, 13"
A##4,1,"A#, E, F","22, 28, 29","0, 6, 7"
A#7#9,1,"A#, D, F, G#, C#","22, 26, 29, 32, 37","0, 4, 7, 10, 15"
A#hdim,1,"A#, C#, E, G#","22, 25, 28, 32","0, 3, 6, 10"
Bmaj,1,"B, D#, F#","23, 27, 30","0, 4, 7"
Bmin,1,"B, D, F#","23, 26, 30","0, 3, 7"
B7,1,"B, D#, F#, A","23, 27, 30, 33","0, 4, 7, 10"
Bmaj7,1,"B, D#, F#, A#","23, 27, 30, 34","0, 4, 7, 11"
Bmin7,1,"B, D, F#, A","23, 26, 30, 33","0, 3, 7, 10"
Bminmaj7,1,"B, D, F#, A#","23, 26, 30, 34","0, 3, 7, 11"
Bdim,1,"B, D, F","23, 26, 29","0, 3, 6"
Baug,1,"B, D#, G","23, 27, 31","0, 4, 8"
Baug(b7),1,"B, D#, G, A#","23, 27, 31, 34","0, 4, 8, 11"
Bsus2,1,"B, C#, F#","23, 25, 30","0, 2, 7"
Bsus4,1,"B, E, F#","23, 28, 30","0, 5, 7"
B9,1,"B, D#, F#, A, C#","23, 27, 30, 33, 37","0, 4, 7, 10, 14"
B11,1,"B, D#, F#, A, C#, E","23, 27, 30, 33, 37, 40","0, 4, 7, 10, 14, 17"
B13,1,"B, D#, F#, A, C#, E, G#","23, 27, 30, 33, 37, 40, 44","0, 4, 7, 10, 14, 17, 21"
Bmin9,1,"B, D, F#, A, C#","23, 26, 30, 33, 37","0, 3, 7, 10, 14"
Bmin11,1,"B, D, F#, A, C#, E","23, 26, 30, 33, 37, 40","0, 3, 7, 10, 14, 17"
Bmin13,1,"B, D, F#, A, C#, E, G#","23, 26, 30, 33, 37, 40, 44","0, 3, 7, 10, 14, 17, 21"
Bmaj6,1,"B, D#, F#, G#","23, 27, 30, 32","0, 4, 7, 9"
Bb6,1,"B, D#, F#, G","23, 27, 30, 31","0, 4, 7, 8"
Bb3,1,"B, C#, D#, F#","23, 25, 27, 30","0, 2, 4, 7"
B#9,1,"B, D#, F#, D","23, 27, 30, 38","0, 4, 7, 15"
Bdim7,1,"B, D, F, G#","23, 26, 29, 32","0, 3, 6, 9"
Bmin6,1,"B, D, F#, G#","23, 26, 30, 32","0, 3, 7, 9"
Bmaj9,1,"B, D#, F#, A#, C#","23, 27, 30, 34, 37","0, 4, 7, 11, 14"
B7sus4,1,"B, E, F#, A","23, 28, 30, 33","0, 5, 7, 10"
B7sus2,1,"B, C#, F#, A","23, 25, 30, 33","0, 2, 7, 10"
B7b5,1,"B, D#, F, A","23, 27, 29, 33","0, 4, 6, 10"
B7#5,1,"B, D#, G, A","23, 27, 31, 33","0, 4, 8, 10"
B7b9,1,"B, D#, F#, A, C","23, 27, 30, 33, 36","0, 4, 7, 10, 13"
B#4,1,"B, F, F#","23, 29, 30","0, 6, 7"
B7#9,1,"B, D#, F#, A, D","23, 27, 30, 33, 38","0, 4, 7, 10, 15"
Bhdim,1,"B, D, F, A","23, 26, 29, 33","0, 3, 6, 10"
Cmaj,2,"C, E, G","24, 28, 31","0, 4, 7"
Cmin,2,"C, D#, G","24, 27, 31","0, 3, 7"
C7,2,"C, E, G, A#","24, 28, 31, 34","0, 4, 7, 10"
Cmaj7,2,"C, E, G, B","24, 28, 31, 35","0, 4, 7, 11"
Cmin7,2,"C, D#, G, A#","24, 27, 31, 34","0, 3, 7, 10"
Cminmaj7,2,"C, D#, G, B","24, 27, 31, 35","0, 3, 7, 11"
Cdim,2,"C, D#, F#","24, 27, 30","0, 3, 6"
Caug,2,"C, E, G#","24, 28, 32","0, 4, 8"
Caug(b7),2,"C, E, G#, B","24, 28, 32, 35","0, 4, 8, 11"
Csus2,2,"C, D, G","24, 26, 31","0, 2, 7"
Csus4,2,"C, F, G","24, 29, 31","0, 5, 7"
C9,2,"C, E, G, A#, D","24, 28, 31, 34, 38","0, 4, 7, 10, 14"
C11,2,"C, E, G, A#, D, F","24, 28, 31, 34, 38, 41","0, 4, 7, 10, 14, 17"
C13,2,"C, E, G, A#, D, F, A","24, 28, 31, 34, 38, 41, 45","0, 4, 7, 10, 14, 17, 21"
Cmin9,2,"C, D#, G, A#, D","24, 27, 31, 34, 38","0, 3, 7, 10, 14"
Cmin11,2,"C, D#, G, A#, D, F","24, 27, 31, 34, 38, 41","0, 3, 7, 10, 14, 17"
Cmin13,2,"C, D#, G, A#, D, F, A","24, 27, 31, 34, 38, 41, 45","0, 3, 7, 10, 14, 17, 21"
Cmaj6,2,"C, E, G, A","24, 28, 31, 33","0, 4, 7, 9"
Cb6,2,"C, E, G, G#","24, 28, 31, 32","0, 4, 7, 8"
Cb3,2,"C, D, E, G","24, 26, 28, 31","0, 2, 4, 7"
C#9,2,"C, E, G, D#","24, 28, 31, 39","0, 4, 7, 15"
Cdim7,2,"C, D#, F#, A","24, 27, 30, 33","0, 3, 6, 9"
Cmin6,2,"C, D#, G, A","24, 27, 31, 33","0, 3, 7, 9"
Cmaj9,2,"C, E, G, B, D","24, 28, 31, 35, 38","0, 4, 7, 11, 14"
C7sus4,2,"C, F, G, A#","24, 29, 31, 34","0, 5, 7, 10"
C7sus2,2,"C, D, G, A#","24, 26, 31, 34","0, 2, 7, 10"
C7b5,2,"C, E, F#, A#","24, 28, 30, 34","0, 4, 6, 10"
C7#5,2,"C, E, G#, A#","24, 28, 32, 34","0, 4, 8, 10"
C7b9,2,"C, E, G, A#, C#","24, 28, 31, 34, 37","0, 4, 7, 10, 13"
C#4,2,"C, F#, G","24, 30, 31","0, 6, 7"
C7#9,2,"C, E, G, A#, D#","24, 28, 31, 34, 39","0, 4, 7, 10, 15"
Chdim,2,"C, D#, F#, A#","24, 27, 30, 34","0, 3, 6, 10"
C#maj,2,"C#, F, G#","25, 29, 32","0, 4, 7"
C#min,2,"C#, E, G#","25, 28, 32","0, 3, 7"
C#7,2,"C#, F, G#, B","25, 29, 32, 35","0, 4, 7, 10"
C#maj7,2,"C#, F, G#, C","25, 29, 32, 36","0, 4, 7, 11"
C#min7,2,"C#, E, G#, B","25, 28, 32, 35","0, 3, 7, 10"
C#minmaj7,2,"C#, E, G#, C","25, 28, 32, 36","0, 3, 7, 11"
C#dim,2,"C#, E, G","25, 28, 31","0, 3, 6"
C#aug,2,"C#, F, A","25, 29, 33","0, 4, 8"
C#aug(b7),2,"C#, F, A, C","25, 29, 33, 36","0, 4, 8, 11"
C#sus2,2,"C#, D#, G#","25, 27, 32","0, 2, 7"
C#sus4,2,"C#, F#, G#","25, 30, 32","0, 5, 7"
C#9,2,"C#, F, G#, B, D#","25, 29, 32, 35, 39","0, 4, 7, 10, 14"
C#11,2,"C#, F, G#, B, D#, F#","25, 29, 32, 35, 39, 42","0, 4, 7, 10, 14, 17"
C#13,2,"C#, F, G#, B, D#, F#, A#","25, 29, 32, 35, 39, 42, 46","0, 4, 7, 10, 14, 17, 21"
C#min9,2,"C#, E, G#, B, D#","25, 28, 32, 35, 39","0, 3, 7, 10, 14"
C#min11,2,"C#, E, G#, B, D#, F#","25, 28, 32, 35, 39, 42","0, 3, 7, 10, 14, 17"
C#min13,2,"C#, E, G#, B, D#, F#, A#","25, 28, 32, 35, 39, 42, 46","0, 3, 7, 10, 14, 17, 21"
C#maj6,2,"C#, F, G#, A#","25, 29, 32, 34","0, 4, 7, 9"
C#b6,2,"C#, F, G#, A","25, 29, 32, 33","0, 4, 7, 8"
C#b3,2,"C#, D#, F, G#","25, 27, 29, 32","0, 2, 4, 7"
C##9,2,"C#, F, G#, E","25, 29, 32, 40","0, 4, 7, 15"
C#dim7,2,"C#, E, G, A#","25, 28, 31, 34","0, 3, 6, 9"
C#min6,2,"C#, E, G#, A#","25, 28, 32, 34","0, 3, 7, 9"
C#maj9,2,"C#, F, G#, C, D#","25, 29, 32, 36, 39","0, 4, 7, 11, 14"
C#7sus4,2,"C#, F#, G#, B","25, 30, 32, 35","0, 5, 7, 10"
C#7sus2,2,"C#, D#, G#, B","25, 27, 32, 35","0, 2, 7, 10"
C#7b5,2,"C#, F, G, B","25, 29, 31, 35","0, 4, 6, 10"
C#7#5,2,"C#, F, A, B","25, 29, 33, 35","0, 4, 8, 10"
C#7b9,2,"C#, F, G#, B, D","25, 29, 32, 35, 38","0, 4, 7, 10, 13"
C##4,2,"C#, G, G#","25, 31, 32","0, 6, 7"
C#7#9,2,"C#, F, G#, B, E","25, 29, 32, 35, 40","0, 4, 7, 10, 15"
C#hdim,2,"C#, E, G, B","25, 28, 31, 35","0, 3, 6, 10"
Dmaj,2,"D, F#, A","26, 30, 33","0, 4, 7"
Dmin,2,"D, F, A","26, 29, 33","0, 3, 7"
D7,2,"D, F#, A, C","26, 30, 33, 36","0, 4, 7, 10"
Dmaj7,2,"D, F#, A, C#","26, 30, 33, 37","0, 4, 7, 11"
Dmin7,2,"D, F, A, C","26, 29, 33, 36","0, 3, 7, 10"
Dminmaj7,2,"D, F, A, C#","26, 29, 33, 37","0, 3, 7, 11"
Ddim,2,"D, F, G#","26, 29, 32","0, 3, 6"
Daug,2,"D, F#, A#","26, 30, 34","0, 4, 8"
Daug(b7),2,"D, F#, A#, C#","26, 30, 34, 37","0, 4, 8, 11"
Dsus2,2,"D, E, A","26, 28, 33","0, 2, 7"
Dsus4,2,"D, G, A","26, 31, 33","0, 5, 7"
D9,2,"D, F#, A, C, E","26, 30, 33, 36, 40","0, 4, 7, 10, 14"
D11,2,"D, F#, A, C, E, G","26, 30, 33, 36, 40, 43","0, 4, 7, 10, 14, 17"
D13,2,"D, F#, A, C, E, G, B","26, 30, 33, 36, 40, 43, 47","0, 4, 7, 10, 14, 17, 21"
Dmin9,2,"D, F, A, C, E","26, 29, 33, 36, 40","0, 3, 7, 10, 14"
Dmin11,2,"D, F, A, C, E, G","26, 29, 33, 36, 40, 43","0, 3, 7, 10, 14, 17"
Dmin13,2,"D, F, A, C, E, G, B","26, 29, 33, 36, 40, 43, 47","0, 3, 7, 10, 14, 17, 21"
Dmaj6,2,"D, F#, A, B","26, 30, 33, 35","0, 4, 7, 9"
Db6,2,"D, F#, A, A#","26, 30, 33, 34","0, 4, 7, 8"
Db3,2,"D, E, F#, A","26, 28, 30, 33","0, 2, 4, 7"
D#9,2,"D, F#, A, F","26, 30, 33, 41","0, 4, 7, 15"
Ddim7,2,"D, F, G#, B","26, 29, 32, 35","0, 3, 6, 9"
Dmin6,2,"D, F, A, B","26, 29, 33, 35","0, 3, 7, 9"
Dmaj9,2,"D, F#, A, C#, E","26, 30, 33, 37, 40","0, 4, 7, 11, 14"
D7sus4,2,"D, G, A, C","26, 31, 33, 36","0, 5, 7, 10"
D7sus2,2,"D, E, A, C","26, 28, 33, 36","0, 2, 7, 10"
D7b5,2,"D, F#, G#, C","26, 30, 32, 36","0, 4, 6, 10"
D7#5,2,"D, F#, A#, C","26, 30, 34, 36","0, 4, 8, 10"
D7b9,2,"D, F#, A, C, D#","26, 30, 33, 36, 39","0, 4, 7, 10, 13"
D#4,2,"D, G#, A","26, 32, 33","0, 6, 7"
D7#9,2,"D, F#, A, C, F","26, 30, 33, 36, 41","0, 4, 7, 10, 15"
Dhdim,2,"D, F, G#, C","26, 29, 32, 36","0, 3, 6, 10"
D#maj,2,"D#, G, A#","27, 31, 34","0, 4, 7"
D#min,2,"D#, F#, A#","27, 30, 34","0, 3, 7"
D#7,2,"D#, G, A#, C#","27, 31, 34, 37","0, 4, 7, 10"
D#maj7,2,"D#, G, A#, D","27, 31, 34, 38","0, 4, 7, 11"
D#min7,2,"D#, F#, A#, C#","27, 30, 34, 37","0, 3, 7, 10"
D#minmaj7,2,"D#, F#, A#, D","27, 30, 34, 38","0, 3, 7, 11"
D#dim,2,"D#, F#, A","27, 30, 33","0, 3, 6"
D#aug,2,"D#, G, B","27, 31, 35","0, 4, 8"
D#aug(b7),2,"D#, G, B, D","27, 31, 35, 38","0, 4, 8, 11"
D#sus2,2,"D#, F, A#","27, 29, 34","0, 2, 7"
D#sus4,2,"D#, G#, A#","27, 32, 34","0, 5, 7"
D#9,2,"D#, G, A#, C#, F","27, 31, 34, 37, 41","0, 4, 7, 10, 14"
D#11,2,"D#, G, A#, C#, F, G#","27, 31, 34, 37, 41, 44","0, 4, 7, 10, 14, 17"
D#13,2,"D#, G, A#, C#, F, G#, C","27, 31, 34, 37, 41, 44, 48","0, 4, 7, 10, 14, 17, 21"
D#min9,2,"D#, F#, A#, C#, F","27, 30, 34, 37, 41","0, 3, 7, 10, 14"
D#min11,2,"D#, F#, A#, C#, F, G#","27, 30, 34, 37, 41, 44","0, 3, 7, 10, 14, 17"
D#min13,2,"D#, F#, A#, C#, F, G#, C","27, 30, 34, 37, 41, 44, 48","0, 3, 7, 10, 14, 17, 21"
D#maj6,2,"D#, G, A#, C","27, 31, 34, 36","0, 4, 7, 9"
D#b6,2,"D#, G, A#, B","27, 31, 34, 35","0, 4, 7, 8"
D#b3,2,"D#, F, G, A#","27, 29, 31, 34","0, 2, 4, 7"
D##9,2,"D#, G, A#, F#","27, 31, 34, 42","0, 4, 7, 15"
D#dim7,2,"D#, F#, A, C","27, 30, 33, 36","0, 3, 6, 9"
D#min6,2,"D#, F#, A#, C","27, 30, 34, 36","0, 3, 7, 9"
D#maj9,2,"D#, G, A#, D, F","27, 31, 34, 38, 41","0, 4, 7, 11, 14"
D#7sus4,2,"D#, G#, A#, C#","27, 32, 34, 37","0, 5, 7, 10"
D#7sus2,2,"D#, F, A#, C#","27, 29, 34, 37","0, 2, 7, 10"
D#7b5,2,"D#, G, A, C#","27, 31, 33, 37","0, 4, 6, 10"
D#7#5,2,"D#, G, B, C#","27, 31, 35, 37","0, 4, 8, 10"
D#7b9,2,"D#, G, A#, C#, E","27, 31, 34, 37, 40","0, 4, 7, 10, 13"
D##4,2,"D#, A, A#","27, 33, 34","0, 6, 7"
D#7#9,2,"D#, G, A#, C#, F#","27, 31, 34, 37, 42","0, 4, 7, 10, 15"
D#hdim,2,"D#, F#, A, C#","27, 30, 33, 37","0, 3, 6, 10"
Emaj,2,"E, G#, B","28, 32, 35","0, 4, 7"
Emin,2,"E, G, B","28, 31, 35","0, 3, 7"
E7,2,"E, G#, B, D","28, 32, 35, 38","0, 4, 7, 10"
Emaj7,2,"E, G#, B, D#","28, 32, 35, 39","0, 4, 7, 11"
Emin7,2,"E, G, B, D","28, 31, 35, 38","0, 3, 7, 10"
Eminmaj7,2,"E, G, B, D#","28, 31, 35, 39","0, 3, 7, 11"
Edim,2,"E, G, A#","28, 31, 34","0, 3, 6"
Eaug,2,"E, G#, C","28, 32, 36","0, 4, 8"
Eaug(b7),2,"E, G#, C, D#","28, 32, 36, 39","0, 4, 8, 11"
Esus2,2,"E, F#, B","28, 30, 35","0, 2, 7"
Esus4,2,"E, A, B","28, 33, 35","0, 5, 7"
E9,2,"E, G#, B, D, F#","28, 32, 35, 38, 42","0, 4, 7, 10, 14"
E11,2,"E, G#, B, D, F#, A","28, 32, 35, 38, 42, 45","0, 4, 7, 10, 14, 17"
E13,2,"E, G#, B, D, F#, A, C#","28, 32, 35, 38, 42, 45, 49","0, 4, 7, 10, 14, 17, 21"
Emin9,2,"E, G, B, D, F#","28, 31, 35, 38, 42","0, 3, 7, 10, 14"
Emin11,2,"E, G, B, D, F#, A","28, 31, 35, 38, 42, 45","0, 3, 7, 10, 14, 17"
Emin13,2,"E, G, B, D, F#, A, C#","28, 31, 35, 38, 42, 45, 49","0, 3, 7, 10, 14, 17, 21"
Emaj6,2,"E, G#, B, C#","28, 32, 35, 37","0, 4, 7, 9"
Eb6,2,"E, G#, B, C","28, 32, 35, 36","0, 4, 7, 8"
Eb3,2,"E, F#, G#, B","28, 30, 32, 35","0, 2, 4, 7"
E#9,2,"E, G#, B, G","28, 32, 35, 43","0, 4, 7, 15"
Edim7,2,"E, G, A#, C#","28, 31, 34, 37","0, 3, 6, 9"
Emin6,2,"E, G, B, C#","28, 31, 35, 37","0, 3, 7, 9"
Emaj9,2,"E, G#, B, D#, F#","28, 32, 35, 39, 42","0, 4, 7, 11, 14"
E7sus4,2,"E, A, B, D","28, 33, 35, 38","0, 5, 7, 10"
E7sus2,2,"E, F#, B, D","28, 30, 35, 38","0, 2, 7, 10"
E7b5,2,"E, G#, A#, D","28, 32, 34, 38","0, 4, 6, 10"
E7#5,2,"E, G#, C, D","28, 32, 36, 38","0, 4, 8, 10"
E7b9,2,"E, G#, B, D, F","28, 32, 35, 38, 41","0, 4, 7, 10, 13"
E#4,2,"E, A#, B","28, 34, 35","0, 6, 7"
E7#9,2,"E, G#, B, D, G","28, 32, 35, 38, 43","0, 4, 7, 10, 15"
Ehdim,2,"E, G, A#, D","28, 31, 34, 38","0, 3, 6, 10"
Fmaj,2,"F, A, C","29, 33, 36","0, 4, 7"
Fmin,2,"F, G#, C","29, 32, 36","0, 3, 7"
F7,2,"F, A, C, D#","29, 33, 36, 39","0, 4, 7, 10"
Fmaj7,2,"F, A, C, E","29, 33, 36, 40","0, 4, 7, 11"
Fmin7,2,"F, G#, C, D#","29, 32, 36, 39","0, 3, 7, 10"
Fminmaj7,2,"F, G#, C, E","29, 32, 36, 40","0, 3, 7, 11"
Fdim,2,"F, G#, B","29, 32, 35","0, 3, 6"
Faug,2,"F, A, C#","29, 33, 37","0, 4, 8"
Faug(b7),2,"F, A, C#, E","29, 33, 37, 40","0, 4, 8, 11"
Fsus2,2,"F, G, C","29, 31, 36","0, 2, 7"
Fsus4,2,"F, A#, C","29, 34, 36","0, 5, 7"
F9,2,"F, A, C, D#, G","29, 33, 36, 39, 43","0, 4, 7, 10, 14"
F11,2,"F, A, C, D#, G, A#","29, 33, 36, 39, 43, 46","0, 4, 7, 10, 14, 17"
F13,2,"F, A, C, D#, G, A#, D","29, 33, 36, 39, 43, 46, 50","0, 4, 7, 10, 14, 17, 21"
Fmin9,2,"F, G#, C, D#, G","29, 32, 36, 39, 43","0, 3, 7, 10, 14"
Fmin11,2,"F, G#, C, D#, G, A#","29, 32, 36, 39, 43, 46","0, 3, 7, 10, 14, 17"
Fmin13,2,"F, G#, C, D#, G, A#, D","29, 32, 36, 39, 43, 46, 50","0, 3, 7, 10, 14, 17, 21"
Fmaj6,2,"F, A, C, D","29, 33, 36, 38","0, 4, 7, 9"
Fb6,2,"F, A, C, C#","29, 33, 36, 37","0, 4, 7, 8"
Fb3,2,"F, G, A, C","29, 31, 33, 36","0, 2, 4, 7"
F#9,2,"F, A, C, G#","29, 33, 36, 44","0, 4, 7, 15"
Fdim7,2,"F, G#, B, D","29, 32, 35, 38","0, 3, 6, 9"
Fmin6,2,"F, G#, C, D","29, 32, 36, 38","0, 3, 7, 9"
Fmaj9,2,"F, A, C, E, G","29, 33, 36, 40, 43","0, 4, 7, 11, 14"
F7sus4,2,"F, A#, C, D#","29, 34, 36, 39","0, 5, 7, 10"
F7sus2,2,"F, G, C, D#","29, 31, 36, 39","0, 2, 7, 10"
F7b5,2,"F, A, B, D#","29, 33, 35, 39","0, 4, 6, 10"
F7#5,2,"F, A, C#, D#","29, 33, 37, 39","0, 4, 8, 10"
F7b9,2,"F, A, C, D#, F#","29, 33, 36, 39, 42","0, 4, 7, 10, 13"
F#4,2,"F, B, C","29, 35, 36","0, 6, 7"
F7#9,2,"F, A, C, D#, G#","29, 33, 36, 39, 44","0, 4, 7, 10, 15"
Fhdim,2,"F, G#, B, D#","29, 32, 35, 39","0, 3, 6, 10"
F#maj,2,"F#, A#, C#","30, 34, 37","0, 4, 7"
F#min,2,"F#, A, C#","30, 33, 37","0, 3, 7"
F#7,2,"F#, A#, C#, E","30, 34, 37, 40","0, 4, 7, 10"
F#maj7,2,"F#, A#, C#, F","30, 34, 37, 41","0, 4, 7, 11"
F#min7,2,"F#, A, C#, E","30, 33, 37, 40","0, 3, 7, 10"
F#minmaj7,2,"F#, A, C#, F","30, 33, 37, 41","0, 3, 7, 11"
F#dim,2,"F#, A, C","30, 33, 36","0, 3, 6"
F#aug,2,"F#, A#, D","30, 34, 38","0, 4, 8"
F#aug(b7),2,"F#, A#, D, F","30, 34, 38, 41","0, 4, 8, 11"
F#sus2,2,"F#, G#, C#","30, 32, 37","0, 2, 7"
F#sus4,2,"F#, B, C#","30, 35, 37","0, 5, 7"
F#9,2,"F#, A#, C#, E, G#","30, 34, 37, 40, 44","0, 4, 7, 10, 14"
F#11,2,"F#, A#, C#, E, G#, B","30, 34, 37, 40, 44, 47","0, 4, 7, 10, 14, 17"
F#13,2,"F#, A#, C#, E, G#, B, D#","30, 34, 37, 40, 44, 47, 51","0, 4, 7, 10, 14, 17, 21"
F#min9,2,"F#, A, C#, E, G#","30, 33, 37, 40, 44","0, 3, 7, 10, 14"
F#min11,2,"F#, A, C#, E, G#, B","30, 33, 37, 40, 44, 47","0, 3, 7, 10, 14, 17"
F#min13,2,"F#, A, C#, E, G#, B, D#","30, 33, 37, 40, 44, 47, 51","0, 3, 7, 10, 14, 17, 21"
F#maj6,2,"F#, A#, C#, D#","30, 34, 37, 39","0, 4, 7, 9"
F#b6,2,"F#, A#, C#, D","30, 34, 37, 38","0, 4, 7, 8"
F#b3,2,"F#, G#, A#, C#","30, 32, 34, 37","0, 2, 4, 7"
F##9,2,"F#, A#, C#, A","30, 34, 37, 45","0, 4, 7, 15"
F#dim7,2,"F#, A, C, D#","30, 33, 36, 39","0, 3, 6, 9"
F#min6,2,"F#, A, C#, D#","30, 33, 37, 39","0, 3, 7, 9"
F#maj9,2,"F#, A#, C#, F, G#","30, 34, 37, 41, 44","0, 4, 7, 11, 14"
F#7sus4,2,"F#, B, C#, E","30, 35, 37, 40","0, 5, 7, 10"
F#7sus2,2,"F#, G#, C#, E","30, 32, 37, 40","0, 2, 7, 10"
F#7b5,2,"F#, A#, C, E","30, 34, 36, 40","0, 4, 6, 10"
F#7#5,2,"F#, A#, D, E","30, 34, 38, 40","0, 4, 8, 10"
F#7b9,2,"F#, A#, C#, E, G","30, 34, 37, 40, 43","0, 4, 7, 10, 13"
F##4,2,"F#, C, C#","30, 36, 37","0, 6, 7"
F#7#9,2,"F#, A#, C#, E, A","30, 34, 37, 40, 45","0, 4, 7, 10, 15"
F#hdim,2,"F#, A, C, E","30, 33, 36, 40","0, 3, 6, 10"
Gmaj,2,"G, B, D","31, 35, 38","0, 4, 7"
Gmin,2,"G, A#, D","31, 34, 38","0, 3, 7"
G7,2,"G, B, D, F","31, 35, 38, 41","0, 4, 7, 10"
Gmaj7,2,"G, B, D, F#","31, 35, 38, 42","0, 4, 7, 11"
Gmin7,2,"G, A#, D, F","31, 34, 38, 41","0, 3, 7, 10"
Gminmaj7,2,"G, A#, D, F#","31, 34, 38, 42","0, 3, 7, 11"
Gdim,2,"G, A#, C#","31, 34, 37","0, 3, 6"
Gaug,2,"G, B, D#","31, 35, 39","0, 4, 8"
Gaug(b7),2,"G, B, D#, F#","31, 35, 39, 42","0, 4, 8, 11"
Gsus2,2,"G, A, D","31, 33, 38","0, 2, 7"
Gsus4,2,"G, C, D","31, 36, 38","0, 5, 7"
G9,2,"G, B, D, F, A","31, 35, 38, 41, 45","0, 4, 7, 10, 14"
G11,2,"G, B, D, F, A, C","31, 35, 38, 41, 45, 48","0, 4, 7, 10, 14, 17"
G13,2,"G, B, D, F, A, C, E","31, 35, 38, 41, 45, 48, 52","0, 4, 7, 10, 14, 17, 21"
Gmin9,2,"G, A#, D, F, A","31, 34, 38, 41, 45","0, 3, 7, 10, 14"
Gmin11,2,"G, A#, D, F, A, C","31, 34, 38, 41, 45, 48","0, 3, 7, 10, 14, 17"
Gmin13,2,"G, A#, D, F, A, C, E","31, 34, 38, 41, 45, 48, 52","0, 3, 7, 10, 14, 17, 21"
Gmaj6,2,"G, B, D, E","31, 35, 38, 40","0, 4, 7, 9"
Gb6,2,"G, B, D, D#","31, 35, 38, 39","0, 4, 7, 8"
Gb3,2,"G, A, B, D","31, 33, 35, 38","0, 2, 4, 7"
G#9,2,"G, B, D, A#","31, 35, 38, 46","0, 4, 7, 15"
Gdim7,2,"G, A#, C#, E","31, 34, 37, 40","0, 3, 6, 9"
Gmin6,2,"G, A#, D, E","31, 34, 38, 40","0, 3, 7, 9"
Gmaj9,2,"G, B, D, F#, A","31, 35, 38, 42, 45","0, 4, 7, 11, 14"
G7sus4,2,"G, C, D, F","31, 36, 38, 41","0, 5, 7, 10"
G7sus2,2,"G, A, D, F","31, 33, 38, 41","0, 2, 7, 10"
G7b5,2,"G, B, C#, F","31, 35, 37, 41","0, 4, 6, 10"
G7#5,2,"G, B, D#, F","31, 35, 39, 41","0, 4, 8, 10"
G7b9,2,"G, B, D, F, G#","31, 35, 38, 41, 44","0, 4, 7, 10, 13"
G#4,2,"G, C#, D","31, 37, 38","0, 6, 7"
G7#9,2,"G, B, D, F, A#","31, 35, 38, 41, 46","0, 4, 7, 10, 15"
Ghdim,2,"G, A#, C#, F","31, 34, 37, 41","0, 3, 6, 10"
G#maj,2,"G#, C, D#","32, 36, 39","0, 4, 7"
G#min,2,"G#, B, D#","32, 35, 39","0, 3, 7"
G#7,2,"G#, C, D#, F#","32, 36, 39, 42","0, 4, 7, 10"
G#maj7,2,"G#, C, D#, G","32, 36, 39, 43","0, 4, 7, 11"
G#min7,2,"G#, B, D#, F#","32, 35, 39, 42","0, 3, 7, 10"
G#minmaj7,2,"G#, B, D#, G","32, 35, 39, 43","0, 3, 7, 11"
G#dim,2,"G#, B, D","32, 35, 38","0, 3, 6"
